Штрих-код;Артикул;Наименование;Бренд;ЦенаОпт;ЦенаРозн;Страна-производитель;Размер;Качественный Состав;Цвет;Цвет для фильтра;Пол;Сезон;Сезон для фильтра;Стиль;Изображение;Бок;Спина;Доп картинка;alt картинки;Что с чем;Старая цена;Sale,%;Новинка;Архивный;Luxe;Опубликован;В наличии;Описание товара;Теги;Категории Sale;Категории акций и подарков;Категории А;Категории Б;Категории В;Категории Г;Категории Д
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;51% вискоза, 29%ПА, 20%эластан;молочный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xxl;51% вискоза, 29%ПА, 20%эластан;молочный;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;51% вискоза, 29%ПА, 20%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xxl;51% вискоза, 29%ПА, 20%эластан;хаки;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;51% вискоза, 29%ПА, 20%эластан;бордовый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xxl;51% вискоза, 29%ПА, 20%эластан;бордовый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;51% вискоза, 29%ПА, 20%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xxl;51% вискоза, 29%ПА, 20%эластан;синий;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;l;51% вискоза, 29%ПА, 20%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
;MF3085/0816;Джемпер Бьюти Вуман;Beaty Woman;;;;xxl;51% вискоза, 29%ПА, 20%эластан;серый;;ж;;;;;;;;;;;;;;;;;;;;;;;;;
